,NaceCode,Classification,CompanyCount
3864,82990,MAIN,579233
3324,70200,MAIN,255865
3865,82990,SECO,249791
3339,70220,MAIN,243670
4032,85599,MAIN,243452
3264,68201,MAIN,210957
1719,43211,MAIN,191092
1753,43320,MAIN,179410
3270,68203,MAIN,159366
3839,81300,MAIN,154919
1732,43222,MAIN,125416
1944,46190,MAIN,125379
1713,43120,MAIN,125292
3830,81220,MAIN,124943
11511,8130002,MAIN,120348
3853,82300,MAIN,119170
8330,4312001,MAIN,118932
1729,43221,MAIN,116175
3058,62200,MAIN,112236
4033,85599,SECO,109088
3046,62020,MAIN,104647
3827,81210,MAIN,102354
1756,43331,MAIN,100781
1765,43341,MAIN,99797
4012,85510,MAIN,98187
1795,43910,MAIN,97267
1759,43332,MAIN,96457
3292,69101,MAIN,96292
3447,73300,MAIN,95575
3842,82100,MAIN,94991
2958,56301,MAIN,94706
10907,7020001,MAIN,93948
172,1500,MAIN,93577
3336,70210,MAIN,92011
10941,7022001,MAIN,91864
2560,49410,MAIN,90725
1722,43212,MAIN,90148
4060,86220,MAIN,89550
1750,43310,MAIN,89491
1941,46180,MAIN,89074
1738,43230,MAIN,88751
3136,64210,MAIN,87751
8566,4391002,MAIN,87094
1744,43291,MAIN,85862
3255,68110,MAIN,84165
3055,62100,MAIN,83978
3845,82110,MAIN,83864
11508,8130001,MAIN,82605
3252,68100,MAIN,82497
1798,43990,MAIN,81719
3325,70200,SECO,81605
1660,41001,MAIN,80537
3507,74201,MAIN,80403
3043,62010,MAIN,80080
2450,47716,MAIN,79034
3364,71121,MAIN,78594
2469,47750,MAIN,77451
1710,43110,MAIN,77429
4483,93299,MAIN,77111
3353,71111,MAIN,76717
1675,41201,MAIN,75727
3340,70220,SECO,75442
1762,43333,MAIN,74961
10885,7010001,MAIN,74371
3439,73110,MAIN,74254
1716,43130,MAIN,74154
3129,64200,MAIN,72903
10628,6420011,MAIN,72755
11105,7311001,MAIN,72279
8365,4321102,MAIN,71571
2944,56112,MAIN,71231
2949,56210,MAIN,69758
2351,47521,MAIN,68121
3273,68204,MAIN,68098
3313,70100,MAIN,67935
1819,43999,MAIN,67843
4629,96999,MAIN,67231
3265,68201,SECO,66249
2938,56102,MAIN,65825
1771,43343,MAIN,64615
4597,96099,MAIN,64025
8485,4332013,MAIN,63991
11491,8122002,MAIN,63959
8449,4332001,MAIN,63437
11488,8122001,MAIN,63167
8362,4321101,MAIN,62635
3063,62900,MAIN,62369
4026,85592,MAIN,61640
8599,4399402,MAIN,61485
4057,86210,MAIN,61265
