NaceCode,count
82990,829116
85599,352553
70200,337480
70220,319122
68201,277220
43211,237412
43320,230298
68203,214230
81300,202994
46190,170776
43120,169921
82300,169448
81220,161099
43222,158861
43221,153949
62200,147300
73300,137914
62020,134966
8130002,131982
70210,130770
82100,130480
4312001,129203
81210,127704
85510,127374
43331,126802
47750,126608
43910,124183
43341,120153
64210,118950
43230,118913
68110,116785
73110,116395
43332,115812
46180,115065
43990,114168
56301,114028
82110,113894
68100,112998
43291,112674
93299,112385
43310,111756
62100,111108
43212,110197
7020001,110128
49410,109785
74201,106999
7022001,106948
62010,104882
56210,102720
1500,101440
71121,100675
47716,98999
64200,97368
69101,96769
41001,96694
4391002,96458
43110,96001
43999,93437
86220,91742
62900,91508
8130001,91210
96999,91018
41201,90133
43333,89497
7010001,88438
56112,87534
62090,87002
68204,86478
70100,86290
6420011,86013
71111,85367
96099,84906
85592,84676
47521,84061
43130,83472
7311001,82629
56102,80657
43350,80527
63100,80473
47789,78772
4321102,78717
63920,78235
47120,75469
86995,75318
43390,74954
73200,74464
43343,74343
63990,74020
4332013,72627
86909,72079
43410,69084
4332001,68936
8122002,68724
8122001,68627
4321101,68552
4399402,67962
47715,67494
63110,65917
90111,63451
47910,63309
8122003,63225
4211001,63046
53200,62947
86210,62432
4321103,62255
96220,62141
4399003,61860
1610,61810
43240,61687
56111,61676
1110,61368
7330001,61140
7311003,60798
90031,60735
4712002,60654
4332003,60596
93199,60557
7020002,60259
96210,60124
4399906,60107
7021001,59541
47252,59023
74120,59006
7022002,58796
43299,58539
63910,58424
56101,57690
96022,57503
46130,57371
96021,57267
4312003,57212
4332002,56828
5621002,56186
43422,55980
74209,55914
43994,55769
16230,55590
68321,55281
4335001,55246
4791003,54854
43992,54798
42220,54796
74103,54599
41003,54477
47110,54342
4221901,53771
4339001,53748
4332011,53350
47811,53335
90201,52992
47761,52807
4312005,52744
8122011,52686
4332005,52420
74999,52400
47540,51695
4399201,51535
68121,51407
41203,51384
66300,51290
4312011,51188
58290,51135
63120,50931
71112,50764
45113,50150
4391001,50146
41101,49835
69201,49485
42110,49483
90011,49361
86951,48943
74909,48698
4323001,48475
7111103,48411
46150,48210
47241,48190
47721,47892
4342903,47751
47781,47603
4332012,47576
4329101,47443
66220,47440
25110,47417
2511001,47377
1130,46975
33140,46935
95311,46881
33120,46773
4399904,46403
81100,46119
33200,45810
68310,45805
68322,45394
47722,44602
45201,44469
9329901,44434
4324001,44377
86230,44357
68311,44141
4778402,44045
43342,43930
4342901,43655
4222002,43440
7111302,43427
4329901,43372
4332004,43343
62030,42538
4399901,42465
47279,42073
46900,42018
7311005,42009
47400,41725
4335002,41591
47711,41578
81230,40982
4331001,40907
6220001,40882
4332031,40670
68122,40272
4339002,40268
43223,40203
74111,39828
6202001,39739
95210,39666
82190,39121
41102,39110
77110,38932
1410,38696
41002,38350
81290,38007
86940,37854
47730,37643
71209,37638
4311001,37573
43995,37383
4322101,37346
59113,37169
18130,37162
66199,37162
47990,36898
4778602,36843
43421,36761
4322201,36646
47820,36341
41202,36052
42212,35881
77399,35854
4333201,35825
4334101,35659
4332006,35589
4322202,35564
90391,35353
4323002,35126
9319901,34989
43991,34946
49320,34903
46500,34665
43996,34653
4329102,34357
4399002,34317
4334201,34151
6420012,34120
90021,34082
47210,33638
47512,33551
7311006,33330
47410,33273
4399905,33139
4333101,33066
86906,32949
47770,32902
7112101,32888
5621001,32775
86905,32667
10712,32579
47714,32573
7311002,32504
45320,32367
78100,32184
4324003,32164
71113,32149
4322203,32037
47112,32027
2511003,31951
93110,31949
3312003,31942
47640,31938
9319902,31826
95314,31661
4332008,31397
7420101,31385
52250,31262
4322211,31081
45112,31063
86931,31026
3312011,31013
47251,30924
74101,30876
9622003,30796
4334202,30675
4329903,30591
45204,30244
85520,30206
47221,30090
47260,30078
4312004,30023
7111301,29874
74140,29837
9623002,29779
45310,29765
90393,29572
86904,29556
6811001,29469
47762,29413
6810001,29142
6920101,29105
9602203,29075
47784,28971
88999,28944
47712,28766
4324004,28568
70201,28468
74142,28392
75000,28307
90023,28101
4313002,28087
42990,28047
90120,27990
52210,27796
4332007,27784
33110,27768
9604003,27761
47242,27732
