Year,count
1800.0,5776
1804.0,1
1813.0,1
1814.0,1
1815.0,1
1817.0,1
1825.0,1
1830.0,2
1831.0,1
1835.0,2
1842.0,2
1845.0,1
1848.0,2
1850.0,1
1851.0,1
1853.0,2
1854.0,1
1855.0,1
1863.0,1
1865.0,2
1868.0,1
1869.0,1
1871.0,1
1872.0,1
1874.0,2
1875.0,1
1876.0,2
1877.0,4
1878.0,1
1879.0,2
1880.0,2
1881.0,3
1882.0,3
1883.0,1
1884.0,2
1885.0,1
1886.0,2
1887.0,6
1888.0,5
1889.0,1
1890.0,5
1891.0,6
1892.0,9
1893.0,3
1894.0,11
1895.0,13
1896.0,27
1897.0,20
1898.0,32
1899.0,28
1900.0,46
1901.0,20
1902.0,9
1903.0,15
1904.0,19
1905.0,24
1906.0,32
1907.0,15
1908.0,23
1909.0,23
1910.0,34
1911.0,33
1912.0,41
1913.0,52
1914.0,27
1915.0,4
1916.0,4
1917.0,12
1918.0,4
1919.0,60
1920.0,40
1921.0,73
1922.0,255
1923.0,162
1924.0,82
1925.0,111
1926.0,90
1927.0,80
1928.0,116
1929.0,131
1930.0,95
1931.0,96
1932.0,95
1933.0,94
1934.0,95
1935.0,131
1936.0,125
1937.0,183
1938.0,396
1939.0,279
1940.0,163
1941.0,258
1942.0,139
1943.0,102
1944.0,129
1945.0,528
1946.0,429
1947.0,396
1948.0,388
1949.0,363
1950.0,360
1951.0,325
1952.0,329
1953.0,362
1954.0,325
1955.0,355
1956.0,395
1957.0,420
1958.0,398
1959.0,570
1960.0,595
1961.0,866
1962.0,715
1963.0,742
1964.0,947
1965.0,1160
1966.0,1319
1967.0,1497
1968.0,11718
1969.0,2210
1970.0,2226
1971.0,7545
1972.0,2599
1973.0,3001
1974.0,3253
1975.0,3534
1976.0,3688
1977.0,3750
1978.0,3910
1979.0,3976
1980.0,4463
1981.0,4434
1982.0,5137
1983.0,5542
1984.0,6135
1985.0,6869
1986.0,6885
1987.0,7379
1988.0,8116
1989.0,9121
1990.0,8744
1991.0,8577
1992.0,9806
1993.0,9194
1994.0,9282
1995.0,29177
1996.0,10455
1997.0,10344
1998.0,11009
1999.0,10958
2000.0,11074
2001.0,11414
2002.0,11561
2003.0,11533
2004.0,14331
2005.0,15352
2006.0,17042
2007.0,19038
2008.0,19279
2009.0,19045
2010.0,21577
2011.0,23001
2012.0,22935
2013.0,23790
2014.0,26907
2015.0,28894
2016.0,32751
2017.0,36036
2018.0,40252
2019.0,44589
2020.0,45825
2021.0,55616
2022.0,57876
2023.0,63419
2024.0,72997
2025.0,43417
